@RELATION perfEvents

@ATTRIBUTE counter_values_L1-dcache-store-misses REAL
@ATTRIBUTE counter_values_branch-instructions REAL
@ATTRIBUTE counter_values_branch-loads REAL
@ATTRIBUTE counter_values_instructions REAL

@DATA
320934,2048001,2048001,26897767
301389,2017336,2017336,2048001
300982,2003426,2003426,26628538
315019,2430340,2430340,2017336
300891,2042596,2042596,26543263
325095,5457756,5457756,2003426
273056,1813882,1813882,28694312
334430,2294575,2294575,2430340
337730,2421615,2421615,26770642
330534,2469678,2469678,2042596
343601,2545982,2521285,38682132
307861,1958720,1983417,5457756
349596,2272574,2272574,22399392
369101,2754607,2754607,1813882
239921,1369644,1369644,29687553
382041,3091629,3091629,2294575
282481,1834545,1834545,31171469
334466,2291240,2291240,2421615
269863,2432380,2432380,30221418
324034,2334381,2334381,2469678
390267,3334341,3324981,31062218
373634,2876484,2859923,2545982
436298,4247322,4273243,27134605
338316,2489614,2489614,1958720
243721,1558767,1558767,29626693
300260,2131905,2131905,2272574
292511,2007833,2007833,35968478
270724,1960302,1944653,2754607
278454,2212439,2228088,16265330
291225,2016821,2016821,1369644
304440,2159174,2159174,37478109
246852,1540800,1540800,3091629
295011,1991273,1991273,23333213
327207,2257660,2257660,1834545
289950,1991191,1991191,29666274
261307,1733843,1733843,2291240
247014,1572222,1572222,24634111
292519,2011453,2011453,2432380
259584,1723190,1723190,29877408
292447,1993593,1993593,2334381
297605,2146717,2146717,37616582
290501,1984607,1984607,3334341
293380,1982520,1982520,35039621
312751,2057889,2057889,2876484
296700,1983561,1983561,44708483
262533,2178203,2178203,4247322
289474,2013436,2013436,30471104
293889,1984350,1984350,2489614
254282,1727969,1727969,20256682
246598,1556418,1556418,1558767
297470,2144499,2144499,27306397
297892,1997139,1997139,2131905
293604,1983125,1983125,26572768
302004,2012894,2012894,2007833
286514,1994732,1994732,26067315
303345,2158445,2158445,1960302
293059,2011183,2011183,23755637
301488,1987219,1987219,2212439
293615,1993784,1991985,26646093
295352,1993620,1995419,2016821
256346,1707958,1707958,27469639
302900,2087136,2077160,2159174
294489,1903779,1913755,20204539
246263,1580835,1580835,1540800
331699,4276309,4276309,26492021
280939,1652673,1652673,1991273
344149,2460263,2460263,28085024
296141,1988874,1988874,2257660
245472,1556161,1556161,26495008
347098,2457428,2457428,1991191
300505,2132464,2132464,21376942
292035,1993946,1993946,1733843
298001,2015299,2015299,20368594
311068,2181381,2181381,1572222
290833,2033453,2033453,26623076
297825,2156957,2156957,2011453
241333,1600777,1600777,21294904
310526,2030126,2030126,1723190
299304,2136266,2136266,26503390
372230,2179931,2179048,1993593
176673,1440651,1441534,27400914
365905,2172550,2172550,2146717
178463,1424712,1424712,26442240
307887,2275382,2271423,1984607
269456,1884308,1888267,26453748
335506,2808960,2808960,1982520
394357,2615407,2615407,26906023
239789,1580249,1574203,2057889
307870,3528733,3534779,26442149
409649,2593434,2593434,1983561
250231,1707581,1707581,23324857
291124,1988511,1988511,2178203
262183,1972316,1972316,26628608
346743,2351835,2351835,2013436
249244,1554073,1554073,26472321
312030,2160639,2160639,1984350
303174,2089605,2089605,21292982
296282,2009748,1997168,1727969
249749,1671181,1683761,20284594
53436,473375,473375,1556418
405099,6520643,6610860,49552685
344815,6156830,6156830,6520643
319739,5841606,5841606,43966593
278459,3935246,3935246,6156830
257602,2975931,2937049,44367961
320154,5784231,5823113,5841606
388185,7758525,7758525,25881870
356812,5521470,5521470,3935246
345423,4656211,4650733,22375347
320967,5253125,5258603,2975931
344094,6998521,6998521,45126595
319801,5384642,5384642,5784231
388563,6730009,6724280,57571053
320310,7488033,7486737,7758525
438485,8481322,8488347,43818954
352010,6629199,6629199,5521470
330894,5352072,5331778,36102612
390332,5966662,5985805,4656211
335017,6171511,6145084,34100941
383024,7541124,7568702,5253125
332724,4703858,4703858,49451235
351974,6502145,6502145,6998521
446712,8959088,8959088,40903845
410379,5762353,5725673,5384642
378558,7827675,7864355,49193532
431762,5872425,5872425,6730009
312335,6421848,6421848,42349677
391302,5501092,5501092,7488033
358951,6153694,6153694,54874041
359131,5568350,5568350,8481322
287900,4859824,4859824,51418979
390053,6222955,6222955,6629199
407671,7519664,7519664,39757990
386788,5536638,5536638,5352072
404147,6161645,6161645,42300183
389483,8556707,8556707,5966662
346732,7398860,7385275,47965081
432874,8678342,8691927,6171511
425202,9075920,9071923,59932584
346436,5135486,5139483,7541124
453843,8143483,8143483,35473000
443263,7268270,7268270,4703858
500571,5214596,5212155,50700267
832832,10712135,10714576,6502145
392598,4922618,4922618,72843829
502291,5487511,5471041,8959088
305661,4735358,4751828,40846459
245389,2474612,2470060,5762353
254938,3667038,3667892,57949299
435478,6528851,6532549,7827675
352656,5246210,5246210,44942241
253317,3702255,3702255,5872425
288241,4217243,4201423,44894574
273198,5379878,5395698,6421848
356511,7513634,7497566,42663726
502680,6801390,6817458,5501092
376007,6978162,6978162,50191425
280105,3522879,3522879,6153694
424580,7138890,7125109,41240362
357858,8008431,8020127,5568350
313119,4355088,4357173,32894979
429503,7507666,7507666,4859824
430285,7744030,7716673,50642668
395941,5587470,5614827,6222955
504682,10769855,10769855,56285008
1055138,40395795,40361335,7519664
1128687,64437351,64368541,41440924
1175588,50365786,50469056,5536638
1351240,68867289,68803490,49930300
1311213,67255635,67269748,6161645
1249519,78006503,78014637,64075854
1055296,72716290,72635259,8556707
956630,53513534,53595749,48044196
938532,36644958,36659790,7398860
1075303,60996887,60982545,69081377
1306684,75837577,75724466,8678342
954843,40760206,40889176,68261694
592644,10098437,10116978,9075920
205056,2519410,2517908,38652976
285900,3328796,3335776,5135486
